occurrenceID	inst	kingdom
http://id.luomus.fi/MY.11915041	Helsinki	Plantae
http://id.luomus.fi/MY.11915037	Helsinki	Plantae
http://id.luomus.fi/MY.12132003	Helsinki	Plantae
http://id.luomus.fi/MY.12132042	Helsinki	Plantae
http://id.luomus.fi/MY.12132030	Helsinki	Plantae
http://id.luomus.fi/MY.12132046	Helsinki	Plantae
http://id.luomus.fi/MY.12132054	Helsinki	Plantae
http://id.luomus.fi/MY.12132074	Helsinki	Plantae
http://id.luomus.fi/MY.12132261	Helsinki	Plantae
http://id.luomus.fi/MY.12132281	Helsinki	Plantae
http://id.luomus.fi/MY.12132273	Helsinki	Plantae
http://id.luomus.fi/MY.12132239	Helsinki	Plantae
http://id.luomus.fi/MY.12132293	Helsinki	Plantae
http://id.luomus.fi/MY.12132313	Helsinki	Plantae
http://id.luomus.fi/MY.12132126	Helsinki	Plantae
http://id.luomus.fi/MY.12132122	Helsinki	Plantae
http://id.luomus.fi/MY.12132165	Helsinki	Plantae
http://id.luomus.fi/MY.12132118	Helsinki	Plantae
http://id.luomus.fi/MY.12132181	Helsinki	Plantae
http://id.luomus.fi/MY.12132173	Helsinki	Plantae
http://id.luomus.fi/MY.12132495	Helsinki	Plantae
http://id.luomus.fi/MY.12132487	Helsinki	Plantae
http://id.luomus.fi/MY.12132467	Helsinki	Plantae
http://id.luomus.fi/MY.12132463	Helsinki	Plantae
http://id.luomus.fi/MY.12132551	Helsinki	Plantae
http://id.luomus.fi/MY.12132547	Helsinki	Plantae
http://id.luomus.fi/MY.12132369	Helsinki	Plantae
http://id.luomus.fi/MY.12132394	Helsinki	Plantae
http://id.luomus.fi/MY.12132329	Helsinki	Plantae
http://id.luomus.fi/MY.12132353	Helsinki	Plantae
http://id.luomus.fi/MY.12132418	Helsinki	Plantae
http://id.luomus.fi/MY.12132437	Helsinki	Plantae
http://id.luomus.fi/MY.12132716	Helsinki	Plantae
http://id.luomus.fi/MY.12132704	Helsinki	Plantae
http://id.luomus.fi/MY.12132708	Helsinki	Plantae
http://id.luomus.fi/MY.12132769	Helsinki	Plantae
http://id.luomus.fi/MY.12132784	Helsinki	Plantae
http://id.luomus.fi/MY.12132755	Helsinki	Plantae
http://id.luomus.fi/MY.12132741	Helsinki	Plantae
http://id.luomus.fi/MY.12132573	Helsinki	Plantae
http://id.luomus.fi/MY.12132565	Helsinki	Plantae
http://id.luomus.fi/MY.12132581	Helsinki	Plantae
http://id.luomus.fi/MY.12132645	Helsinki	Plantae
http://id.luomus.fi/MY.12132664	Helsinki	Plantae
http://id.luomus.fi/MY.12132617	Helsinki	Plantae
http://id.luomus.fi/MY.12132629	Helsinki	Plantae
http://id.luomus.fi/MY.12132625	Helsinki	Plantae
http://id.luomus.fi/MY.12131622	Helsinki	Plantae
http://id.luomus.fi/MY.12131610	Helsinki	Plantae
http://id.luomus.fi/MY.12131646	Helsinki	Plantae
http://id.luomus.fi/MY.12131642	Helsinki	Plantae
http://id.luomus.fi/MY.12131654	Helsinki	Plantae
http://id.luomus.fi/MY.12131500	Helsinki	Plantae
http://id.luomus.fi/MY.12131552	Helsinki	Plantae
http://id.luomus.fi/MY.12131560	Helsinki	Plantae
http://id.luomus.fi/MY.12131590	Helsinki	Plantae
http://id.luomus.fi/MY.12131512	Helsinki	Plantae
http://id.luomus.fi/MY.12131532	Helsinki	Plantae
http://id.luomus.fi/MY.12131831	Helsinki	Plantae
http://id.luomus.fi/MY.12131847	Helsinki	Plantae
http://id.luomus.fi/MY.12131855	Helsinki	Plantae
http://id.luomus.fi/MY.12131820	Helsinki	Plantae
